 frequency       db(v(Z))        ph(v(Z))       
 1.17626712e+03 -1.70549533e-02 -5.98326266e-02 
 1.26069188e+03 -1.92720809e-02 -6.41163248e-02 
 1.35117610e+03 -2.18174959e-02 -6.87050150e-02 
 1.44815469e+03 -2.47395705e-02 -7.36200217e-02 
 1.55209376e+03 -2.80937287e-02 -7.88840705e-02 
 1.66349291e+03 -3.19434513e-02 -8.45213594e-02 
 1.78288755e+03 -3.63614149e-02 -9.05576289e-02 
 1.91085157e+03 -4.14307835e-02 -9.70202286e-02 
 2.04800000e+03 -4.72466674e-02 -1.03938180e-01 
 2.19499205e+03 -5.39177682e-02 -1.11342229e-01 
 2.35253423e+03 -6.15682287e-02 -1.19264896e-01 
 2.52138376e+03 -7.03397041e-02 -1.27740501e-01 
 2.70235220e+03 -8.03936737e-02 -1.36805179e-01 
 2.89630938e+03 -9.19140077e-02 -1.46496872e-01 
 3.10418753e+03 -1.05109801e-01 -1.56855284e-01 
 3.32698582e+03 -1.20218482e-01 -1.67921806e-01 
 3.56577511e+03 -1.37509195e-01 -1.79739397e-01 
 3.82170313e+03 -1.57286442e-01 -1.92352397e-01 
 4.09600000e+03 -1.79893965e-01 -2.05806288e-01 
 4.38998410e+03 -2.05718814e-01 -2.20147366e-01 
 4.70506846e+03 -2.35195534e-01 -2.35422322e-01 
 5.04276752e+03 -2.68810377e-01 -2.51677718e-01 
 5.40470440e+03 -3.07105382e-01 -2.68959336e-01 
 5.79261875e+03 -3.50682161e-01 -2.87311397e-01 
 6.20837506e+03 -4.00205137e-01 -3.06775629e-01 
 6.65397163e+03 -4.56403968e-01 -3.27390182e-01 
 7.13155021e+03 -5.20074787e-01 -3.49188388e-01 
 7.64340627e+03 -5.92079891e-01 -3.72197370e-01 
 8.19200000e+03 -6.73345421e-01 -3.96436518e-01 
 8.77996821e+03 -7.64856593e-01 -4.21915870e-01 
 9.41013692e+03 -8.67650033e-01 -4.48634439e-01 
 1.00855350e+04 -9.82802834e-01 -4.76578564e-01 
 1.08094088e+04 -1.11141807e+00 -5.05720360e-01 
 1.15852375e+04 -1.25460665e+00 -5.36016382e-01 
 1.24167501e+04 -1.41346572e+00 -5.67406617e-01 
 1.33079433e+04 -1.58905399e+00 -5.99813920e-01 
 1.42631004e+04 -1.78236487e+00 -6.33144014e-01 
 1.52868125e+04 -1.99429843e+00 -6.67286151e-01 
 1.63840000e+04 -2.22563377e+00 -7.02114485e-01 
 1.75599364e+04 -2.47700326e+00 -7.37490166e-01 
 1.88202738e+04 -2.74887052e+00 -7.73264124e-01 
 2.01710701e+04 -3.04151354e+00 -8.09280415e-01 
 2.16188176e+04 -3.35501435e+00 -8.45379981e-01 
 2.31704750e+04 -3.68925596e+00 -8.81404616e-01 
 2.48335002e+04 -4.04392690e+00 -9.17200908e-01 
 2.66158865e+04 -4.41853293e+00 -9.52623948e-01 
 2.85262009e+04 -4.81241498e+00 -9.87540590e-01 
 3.05736251e+04 -5.22477216e+00 -1.02183212e+00 
 3.27680000e+04 -5.65468802e+00 -1.05539625e+00 
 3.51198728e+04 -6.10115844e+00 -1.08814838e+00 
 3.76405477e+04 -6.56311963e+00 -1.12002213e+00 
 4.03421401e+04 -7.03947474e+00 -1.15096931e+00 
 4.32376352e+04 -7.52911809e+00 -1.18095925e+00 
 4.63409500e+04 -8.03095623e+00 -1.20997781e+00 
 4.96670005e+04 -8.54392555e+00 -1.23802603e+00 
 5.32317730e+04 -9.06700615e+00 -1.26511862e+00 
 5.70524017e+04 -9.59923237e+00 -1.29128235e+00 
 6.11472501e+04 -1.01397000e+01 -1.31655445e+00 
 6.55360000e+04 -1.06875706e+01 -1.34098112e+00 
 7.02397456e+04 -1.12420740e+01 -1.36461609e+00 
 7.52810954e+04 -1.18025082e+01 -1.38751932e+00 
 8.06842803e+04 -1.23682383e+01 -1.40975595e+00 
 8.64752704e+04 -1.29386942e+01 -1.43139531e+00 
 9.26819000e+04 -1.35133677e+01 -1.45251015e+00 
 9.93340009e+04 -1.40918091e+01 -1.47317600e+00 
 1.06463546e+05 -1.46736233e+01 -1.49347070e+00 
 1.14104803e+05 -1.52584668e+01 -1.51347405e+00 
 1.22294500e+05 -1.58460435e+01 -1.53326753e+00 
 1.31072000e+05 -1.64361021e+01 -1.55293421e+00 
 1.40479491e+05 -1.70284325e+01 -1.57255865e+00 
 1.50562191e+05 -1.76228641e+01 -1.59222698e+00 
 1.61368561e+05 -1.82192629e+01 -1.61202697e+00 
 1.72950541e+05 -1.88175303e+01 -1.63204817e+00 
 1.85363800e+05 -1.94176020e+01 -1.65238215e+00 
 1.98668002e+05 -2.00194469e+01 -1.67312273e+00 
 2.12927092e+05 -2.06230678e+01 -1.69436625e+00 
 2.28209607e+05 -2.12285014e+01 -1.71621190e+00 
 2.44589001e+05 -2.18358196e+01 -1.73876207e+00 
 2.62144000e+05 -2.24451314e+01 -1.76212271e+00 
 2.80958983e+05 -2.30565857e+01 -1.78640371e+00 
 3.01124382e+05 -2.36703745e+01 -1.81171928e+00 
 3.22737121e+05 -2.42867376e+01 -1.83818837e+00 
 3.45901082e+05 -2.49059680e+01 -1.86593502e+00 
 3.70727600e+05 -2.55284186e+01 -1.89508878e+00 
 3.97336004e+05 -2.61545105e+01 -1.92578497e+00 
 4.25854184e+05 -2.67847422e+01 -1.95816501e+00 
 4.56419214e+05 -2.74197015e+01 -1.99237657e+00 
 4.89178001e+05 -2.80600787e+01 -2.02857360e+00 
 5.24288000e+05 -2.87066825e+01 -2.06691617e+00 
 5.61917965e+05 -2.93604574e+01 -2.10757009e+00 
 6.02248763e+05 -3.00225047e+01 -2.15070607e+00 
 6.45474242e+05 -3.06941051e+01 -2.19649850e+00 
 6.91802164e+05 -3.13767435e+01 -2.24512352e+00 
 7.41455200e+05 -3.20721356e+01 -2.29675636e+00 
 7.94672007e+05 -3.27822541e+01 -2.35156761e+00 
 8.51708369e+05 -3.35093540e+01 -2.40971835e+00 
 9.12838427e+05 -3.42559924e+01 -2.47135390e+00 
 9.78356002e+05 -3.50250403e+01 -2.53659599e+00 
