 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -2.70382007e-02 -6.26529809e-04 
 1.07177346e+00 -2.70384534e-02 -6.71498010e-04 
 1.14869835e+00 -2.70387436e-02 -7.19693731e-04 
 1.23114441e+00 -2.70390771e-02 -7.71348622e-04 
 1.31950791e+00 -2.70394601e-02 -8.26710960e-04 
 1.41421356e+00 -2.70399000e-02 -8.86046838e-04 
 1.51571657e+00 -2.70404054e-02 -9.49641450e-04 
 1.62450479e+00 -2.70409859e-02 -1.01780046e-03 
 1.74110113e+00 -2.70416528e-02 -1.09085147e-03 
 1.86606598e+00 -2.70424188e-02 -1.16914559e-03 
 2.00000000e+00 -2.70432987e-02 -1.25305913e-03 
 2.14354693e+00 -2.70443095e-02 -1.34299542e-03 
 2.29739671e+00 -2.70454705e-02 -1.43938672e-03 
 2.46228883e+00 -2.70468042e-02 -1.54269633e-03 
 2.63901582e+00 -2.70483362e-02 -1.65342079e-03 
 2.82842712e+00 -2.70500961e-02 -1.77209229e-03 
 3.03143313e+00 -2.70521176e-02 -1.89928120e-03 
 3.24900959e+00 -2.70544397e-02 -2.03559882e-03 
 3.48220225e+00 -2.70571071e-02 -2.18170035e-03 
 3.73213197e+00 -2.70601711e-02 -2.33828799e-03 
 4.00000000e+00 -2.70636907e-02 -2.50611434e-03 
 4.28709385e+00 -2.70677338e-02 -2.68598601e-03 
 4.59479342e+00 -2.70723779e-02 -2.87876750e-03 
 4.92457765e+00 -2.70777127e-02 -3.08538535e-03 
 5.27803164e+00 -2.70838407e-02 -3.30683259e-03 
 5.65685425e+00 -2.70908800e-02 -3.54417351e-03 
 6.06286627e+00 -2.70989659e-02 -3.79854876e-03 
 6.49801917e+00 -2.71082542e-02 -4.07118085e-03 
 6.96440451e+00 -2.71189237e-02 -4.36338003e-03 
 7.46426393e+00 -2.71311796e-02 -4.67655054e-03 
 8.00000000e+00 -2.71452579e-02 -5.01219735e-03 
 8.57418770e+00 -2.71614296e-02 -5.37193345e-03 
