 frequency       db(v(Z))        ph(v(Z))       
 1.96983106e+01 -1.82673446e+00 -4.19624785e-01 
 2.11121266e+01 -1.93262139e+00 -4.46009387e-01 
 2.26274170e+01 -2.05115045e+00 -4.73566751e-01 
 2.42514651e+01 -2.18342831e+00 -5.02261695e-01 
 2.59920767e+01 -2.33056416e+00 -5.32042935e-01 
 2.78576180e+01 -2.49364721e+00 -5.62842165e-01 
 2.98570557e+01 -2.67372135e+00 -5.94573610e-01 
 3.20000000e+01 -2.87175788e+00 -6.27134173e-01 
 3.42967508e+01 -3.08862739e+00 -6.60404252e-01 
 3.67583474e+01 -3.32507246e+00 -6.94249278e-01 
 3.93966212e+01 -3.58168269e+00 -7.28521977e-01 
 4.22242531e+01 -3.85887383e+00 -7.63065279e-01 
 4.52548340e+01 -4.15687254e+00 -7.97715768e-01 
 4.85029301e+01 -4.47570780e+00 -8.32307480e-01 
 5.19841534e+01 -4.81520987e+00 -8.66675855e-01 
 5.57152361e+01 -5.17501666e+00 -9.00661607e-01 
 5.97141115e+01 -5.55458719e+00 -9.34114291e-01 
 6.40000000e+01 -5.95322091e+00 -9.66895385e-01 
 6.85935016e+01 -6.37008170e+00 -9.98880754e-01 
 7.35166947e+01 -6.80422465e+00 -1.02996239e+00 
 7.87932425e+01 -7.25462409e+00 -1.06004946e+00 
 8.44485063e+01 -7.72020125e+00 -1.08906860e+00 
 9.05096680e+01 -8.19985032e+00 -1.11696366e+00 
 9.70058603e+01 -8.69246175e+00 -1.14369493e+00 
 1.03968307e+02 -9.19694242e+00 -1.16923788e+00 
 1.11430472e+02 -9.71223209e+00 -1.19358178e+00 
 1.19428223e+02 -1.02373163e+01 -1.21672803e+00 
 1.28000000e+02 -1.07712359e+01 -1.23868848e+00 
 1.37187003e+02 -1.13130930e+01 -1.25948377e+00 
 1.47033389e+02 -1.18620551e+01 -1.27914177e+00 
 1.57586485e+02 -1.24173562e+01 -1.29769604e+00 
 1.68897013e+02 -1.29782962e+01 -1.31518454e+00 
 1.81019336e+02 -1.35442394e+01 -1.33164841e+00 
 1.94011721e+02 -1.41146115e+01 -1.34713102e+00 
 2.07936613e+02 -1.46888960e+01 -1.36167699e+00 
 2.22860944e+02 -1.52666306e+01 -1.37533158e+00 
 2.38856446e+02 -1.58474026e+01 -1.38814000e+00 
 2.56000000e+02 -1.64308450e+01 -1.40014696e+00 
 2.74374006e+02 -1.70166322e+01 -1.41139630e+00 
 2.94066779e+02 -1.76044761e+01 -1.42193068e+00 
 3.15172970e+02 -1.81941222e+01 -1.43179137e+00 
 3.37794025e+02 -1.87853464e+01 -1.44101810e+00 
 3.62038672e+02 -1.93779511e+01 -1.44964891e+00 
 3.88023441e+02 -1.99717631e+01 -1.45772016e+00 
 4.15873227e+02 -2.05666300e+01 -1.46526643e+00 
 4.45721888e+02 -2.11624184e+01 -1.47232056e+00 
 4.77712892e+02 -2.17590112e+01 -1.47891366e+00 
 5.12000000e+02 -2.23563062e+01 -1.48507514e+00 
 5.48748013e+02 -2.29542137e+01 -1.49083274e+00 
 5.88133558e+02 -2.35526556e+01 -1.49621262e+00 
 6.30345940e+02 -2.41515634e+01 -1.50123941e+00 
 6.75588050e+02 -2.47508774e+01 -1.50593626e+00 
 7.24077344e+02 -2.53505455e+01 -1.51032493e+00 
 7.76046882e+02 -2.59505221e+01 -1.51442584e+00 
 8.31746454e+02 -2.65507677e+01 -1.51825816e+00 
 8.91443777e+02 -2.71512476e+01 -1.52183988e+00 
 9.55425783e+02 -2.77519316e+01 -1.52518785e+00 
 1.02400000e+03 -2.83527934e+01 -1.52831786e+00 
 1.09749603e+03 -2.89538102e+01 -1.53124474e+00 
 1.17626712e+03 -2.95549618e+01 -1.53398234e+00 
 1.26069188e+03 -3.01562310e+01 -1.53654368e+00 
 1.35117610e+03 -3.07576025e+01 -1.53894094e+00 
 1.44815469e+03 -3.13590632e+01 -1.54118554e+00 
 1.55209376e+03 -3.19606015e+01 -1.54328817e+00 
 1.66349291e+03 -3.25622075e+01 -1.54525889e+00 
 1.78288755e+03 -3.31638723e+01 -1.54710710e+00 
 1.91085157e+03 -3.37655885e+01 -1.54884164e+00 
 2.04800000e+03 -3.43673494e+01 -1.55047082e+00 
 2.19499205e+03 -3.49691493e+01 -1.55200243e+00 
 2.35253423e+03 -3.55709831e+01 -1.55344382e+00 
 2.52138376e+03 -3.61728466e+01 -1.55480189e+00 
 2.70235220e+03 -3.67747358e+01 -1.55608315e+00 
 2.89630938e+03 -3.73766477e+01 -1.55729374e+00 
 3.10418753e+03 -3.79785792e+01 -1.55843949e+00 
 3.32698582e+03 -3.85805280e+01 -1.55952588e+00 
 3.56577511e+03 -3.91824919e+01 -1.56055812e+00 
 3.82170313e+03 -3.97844690e+01 -1.56154119e+00 
 4.09600000e+03 -4.03864578e+01 -1.56247978e+00 
 4.38998410e+03 -4.09884569e+01 -1.56337842e+00 
 4.70506846e+03 -4.15904650e+01 -1.56424142e+00 
 5.04276752e+03 -4.21924813e+01 -1.56507293e+00 
 5.40470440e+03 -4.27945049e+01 -1.56587693e+00 
 5.79261875e+03 -4.33965350e+01 -1.56665730e+00 
 6.20837506e+03 -4.39985711e+01 -1.56741778e+00 
 6.65397163e+03 -4.46006127e+01 -1.56816202e+00 
 7.13155021e+03 -4.52026596e+01 -1.56889360e+00 
 7.64340627e+03 -4.58047113e+01 -1.56961605e+00 
 8.19200000e+03 -4.64067679e+01 -1.57033282e+00 
 8.77996821e+03 -4.70088291e+01 -1.57104736e+00 
 9.41013692e+03 -4.76108951e+01 -1.57176311e+00 
 1.00855350e+04 -4.82129659e+01 -1.57248351e+00 
 1.08094088e+04 -4.88150418e+01 -1.57321202e+00 
 1.15852375e+04 -4.94171230e+01 -1.57395214e+00 
 1.24167501e+04 -5.00192100e+01 -1.57470743e+00 
 1.33079433e+04 -5.06213032e+01 -1.57548151e+00 
 1.42631004e+04 -5.12234034e+01 -1.57627811e+00 
 1.52868125e+04 -5.18255113e+01 -1.57710106e+00 
 1.63840000e+04 -5.24276279e+01 -1.57795431e+00 
 1.75599364e+04 -5.30297541e+01 -1.57884195e+00 
 1.88202738e+04 -5.36318913e+01 -1.57976827e+00 
 2.01710701e+04 -5.42340410e+01 -1.58073770e+00 
 2.16188176e+04 -5.48362049e+01 -1.58175490e+00 
 2.31704750e+04 -5.54383850e+01 -1.58282476e+00 
 2.48335002e+04 -5.60405836e+01 -1.58395243e+00 
 2.66158865e+04 -5.66428034e+01 -1.58514332e+00 
 2.85262009e+04 -5.72450474e+01 -1.58640314e+00 
 3.05736251e+04 -5.78473193e+01 -1.58773796e+00 
 3.27680000e+04 -5.84496230e+01 -1.58915417e+00 
 3.51198728e+04 -5.90519633e+01 -1.59065859e+00 
 3.76405477e+04 -5.96543456e+01 -1.59225843e+00 
 4.03421401e+04 -6.02567761e+01 -1.59396137e+00 
 4.32376352e+04 -6.08592619e+01 -1.59577559e+00 
 4.63409500e+04 -6.14618112e+01 -1.59770979e+00 
 4.96670005e+04 -6.20644334e+01 -1.59977324e+00 
 5.32317730e+04 -6.26671394e+01 -1.60197585e+00 
 5.70524017e+04 -6.32699417e+01 -1.60432816e+00 
 6.11472501e+04 -6.38728545e+01 -1.60684146e+00 
 6.55360000e+04 -6.44758942e+01 -1.60952778e+00 
 7.02397456e+04 -6.50790799e+01 -1.61239996e+00 
 7.52810954e+04 -6.56824331e+01 -1.61547177e+00 
 8.06842803e+04 -6.62859788e+01 -1.61875787e+00 
 8.64752704e+04 -6.68897458e+01 -1.62227395e+00 
 9.26819000e+04 -6.74937668e+01 -1.62603680e+00 
 9.93340009e+04 -6.80980800e+01 -1.63006435e+00 
 1.06463546e+05 -6.87027286e+01 -1.63437577e+00 
 1.14104803e+05 -6.93077629e+01 -1.63899153e+00 
 1.22294500e+05 -6.99132404e+01 -1.64393354e+00 
 1.31072000e+05 -7.05192272e+01 -1.64922520e+00 
 1.40479491e+05 -7.11257994e+01 -1.65489149e+00 
 1.50562191e+05 -7.17330445e+01 -1.66095910e+00 
 1.61368561e+05 -7.23410632e+01 -1.66745651e+00 
 1.72950541e+05 -7.29499713e+01 -1.67441410e+00 
 1.85363800e+05 -7.35599023e+01 -1.68186428e+00 
 1.98668002e+05 -7.41710094e+01 -1.68984155e+00 
 2.12927092e+05 -7.47834694e+01 -1.69838263e+00 
 2.28209607e+05 -7.53974859e+01 -1.70752656e+00 
 2.44589001e+05 -7.60132933e+01 -1.71731478e+00 
 2.62144000e+05 -7.66311620e+01 -1.72779118e+00 
 2.80958983e+05 -7.72514036e+01 -1.73900219e+00 
 3.01124382e+05 -7.78743776e+01 -1.75099676e+00 
 3.22737121e+05 -7.85004990e+01 -1.76382633e+00 
 3.45901082e+05 -7.91302468e+01 -1.77754475e+00 
 3.70727600e+05 -7.97641743e+01 -1.79220809e+00 
 3.97336004e+05 -8.04029210e+01 -1.80787433e+00 
 4.25854184e+05 -8.10472260e+01 -1.82460289e+00 
 4.56419214e+05 -8.16979440e+01 -1.84245399e+00 
 4.89178001e+05 -8.23560634e+01 -1.86148766e+00 
 5.24288000e+05 -8.30227273e+01 -1.88176239e+00 
 5.61917965e+05 -8.36992569e+01 -1.90333332e+00 
 6.02248763e+05 -8.43871785e+01 -1.92624975e+00 
 6.45474242e+05 -8.50882528e+01 -1.95055176e+00 
 6.91802164e+05 -8.58045071e+01 -1.97626578e+00 
 7.41455200e+05 -8.65382686e+01 -2.00339875e+00 
 7.94672007e+05 -8.72921983e+01 -2.03193043e+00 
 8.51708369e+05 -8.80693212e+01 -2.06180354e+00 
 9.12838427e+05 -8.88730501e+01 -2.09291119e+00 
 9.78356002e+05 -8.97071955e+01 -2.12508111e+00 
