 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -1.04072357e+00 -2.26437681e-02 
 1.07177346e+00 -1.04105460e+00 -2.42683731e-02 
 1.14869835e+00 -1.04143483e+00 -2.60094391e-02 
 1.23114441e+00 -1.04187156e+00 -2.78752922e-02 
 1.31950791e+00 -1.04237317e+00 -2.98748481e-02 
 1.41421356e+00 -1.04294930e+00 -3.20176534e-02 
 1.51571657e+00 -1.04361101e+00 -3.43139283e-02 
 1.62450479e+00 -1.04437098e+00 -3.67746123e-02 
 1.74110113e+00 -1.04524380e+00 -3.94114128e-02 
 1.86606598e+00 -1.04624619e+00 -4.22368560e-02 
 2.00000000e+00 -1.04739735e+00 -4.52643410e-02 
 2.14354693e+00 -1.04871931e+00 -4.85081961e-02 
 2.29739671e+00 -1.05023734e+00 -5.19837383e-02 
 2.46228883e+00 -1.05198045e+00 -5.57073350e-02 
 2.63901582e+00 -1.05398189e+00 -5.96964684e-02 
 2.82842712e+00 -1.05627980e+00 -6.39698018e-02 
 3.03143313e+00 -1.05891791e+00 -6.85472472e-02 
 3.24900959e+00 -1.06194633e+00 -7.34500347e-02 
 3.48220225e+00 -1.06542246e+00 -7.87007819e-02 
 3.73213197e+00 -1.06941206e+00 -8.43235624e-02 
 4.00000000e+00 -1.07399039e+00 -9.03439725e-02 
 4.28709385e+00 -1.07924355e+00 -9.67891948e-02 
 4.59479342e+00 -1.08527003e+00 -1.03688055e-01 
 4.92457765e+00 -1.09218232e+00 -1.11071074e-01 
 5.27803164e+00 -1.10010891e+00 -1.18970501e-01 
 5.65685425e+00 -1.10919635e+00 -1.27420342e-01 
 6.06286627e+00 -1.11961167e+00 -1.36456363e-01 
 6.49801917e+00 -1.13154498e+00 -1.46116063e-01 
 6.96440451e+00 -1.14521241e+00 -1.56438627e-01 
 7.46426393e+00 -1.16085926e+00 -1.67464830e-01 
 8.00000000e+00 -1.17876349e+00 -1.79236898e-01 
 8.57418770e+00 -1.19923936e+00 -1.91798301e-01 
 9.18958684e+00 -1.22264143e+00 -2.05193492e-01 
 9.84915531e+00 -1.24936864e+00 -2.19467543e-01 
 1.05560633e+01 -1.27986853e+00 -2.34665701e-01 
 1.13137085e+01 -1.31464137e+00 -2.50832819e-01 
 1.21257325e+01 -1.35424429e+00 -2.68012670e-01 
 1.29960383e+01 -1.39929483e+00 -2.86247114e-01 
 1.39288090e+01 -1.45047408e+00 -3.05575124e-01 
 1.49285279e+01 -1.50852880e+00 -3.26031648e-01 
 1.60000000e+01 -1.57427228e+00 -3.47646321e-01 
 1.71483754e+01 -1.64858357e+00 -3.70442020e-01 
 1.83791737e+01 -1.73240455e+00 -3.94433310e-01 
