 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -2.66589933e-03 -6.36595186e-05 
 1.07177346e+00 -2.66590186e-03 -6.82285826e-05 
 1.14869835e+00 -2.66590477e-03 -7.31255842e-05 
 1.23114441e+00 -2.66590812e-03 -7.83740606e-05 
 1.31950791e+00 -2.66591196e-03 -8.39992383e-05 
 1.41421356e+00 -2.66591637e-03 -9.00281544e-05 
 1.51571657e+00 -2.66592144e-03 -9.64897867e-05 
 1.62450479e+00 -2.66592726e-03 -1.03415193e-04 
 1.74110113e+00 -2.66593395e-03 -1.10837659e-04 
 1.86606598e+00 -2.66594163e-03 -1.18792862e-04 
 2.00000000e+00 -2.66595045e-03 -1.27319037e-04 
 2.14354693e+00 -2.66596059e-03 -1.36457165e-04 
 2.29739671e+00 -2.66597224e-03 -1.46251168e-04 
 2.46228883e+00 -2.66598561e-03 -1.56748120e-04 
 2.63901582e+00 -2.66600098e-03 -1.67998475e-04 
 2.82842712e+00 -2.66601862e-03 -1.80056307e-04 
 3.03143313e+00 -2.66603890e-03 -1.92979572e-04 
 3.24900959e+00 -2.66606219e-03 -2.06830383e-04 
 3.48220225e+00 -2.66608894e-03 -2.21675316e-04 
 3.73213197e+00 -2.66611967e-03 -2.37585720e-04 
 4.00000000e+00 -2.66615497e-03 -2.54638069e-04 
 4.28709385e+00 -2.66619551e-03 -2.72914324e-04 
 4.59479342e+00 -2.66624209e-03 -2.92502329e-04 
 4.92457765e+00 -2.66629559e-03 -3.13496233e-04 
 5.27803164e+00 -2.66635705e-03 -3.35996942e-04 
 5.65685425e+00 -2.66642765e-03 -3.60112604e-04 
 6.06286627e+00 -2.66650874e-03 -3.85959130e-04 
 6.49801917e+00 -2.66660189e-03 -4.13660750e-04 
 6.96440451e+00 -2.66670890e-03 -4.43350611e-04 
 7.46426393e+00 -2.66683181e-03 -4.75171415e-04 
 8.00000000e+00 -2.66697301e-03 -5.09276107e-04 
 8.57418770e+00 -2.66713520e-03 -5.45828610e-04 
 9.18958684e+00 -2.66732150e-03 -5.85004611e-04 
 9.84915531e+00 -2.66753551e-03 -6.26992408e-04 
 1.05560633e+01 -2.66778135e-03 -6.71993811e-04 
 1.13137085e+01 -2.66806373e-03 -7.20225119e-04 
 1.21257325e+01 -2.66838811e-03 -7.71918150e-04 
 1.29960383e+01 -2.66876072e-03 -8.27321365e-04 
 1.39288090e+01 -2.66918874e-03 -8.86701056e-04 
 1.49285279e+01 -2.66968041e-03 -9.50342625e-04 
 1.60000000e+01 -2.67024518e-03 -1.01855196e-03 
 1.71483754e+01 -2.67089393e-03 -1.09165691e-03 
 1.83791737e+01 -2.67163916e-03 -1.17000884e-03 
 1.96983106e+01 -2.67249520e-03 -1.25398435e-03 
 2.11121266e+01 -2.67347852e-03 -1.34398704e-03 
 2.26274170e+01 -2.67460807e-03 -1.44044953e-03 
 2.42514651e+01 -2.67590558e-03 -1.54383542e-03 
 2.59920767e+01 -2.67739603e-03 -1.65464165e-03 
 2.78576180e+01 -2.67910810e-03 -1.77340078e-03 
 2.98570557e+01 -2.68107475e-03 -1.90068362e-03 
 3.20000000e+01 -2.68333384e-03 -2.03710191e-03 
 3.42967508e+01 -2.68592885e-03 -2.18331134e-03 
 3.67583474e+01 -2.68890974e-03 -2.34001463e-03 
 3.93966212e+01 -2.69233387e-03 -2.50796493e-03 
 4.22242531e+01 -2.69626716e-03 -2.68796946e-03 
 4.52548340e+01 -2.70078533e-03 -2.88089336e-03 
 4.85029301e+01 -2.70597533e-03 -3.08766384e-03 
 5.19841534e+01 -2.71193707e-03 -3.30927467e-03 
 5.57152361e+01 -2.71878530e-03 -3.54679094e-03 
 5.97141115e+01 -2.72665183e-03 -3.80135415e-03 
 6.40000000e+01 -2.73568809e-03 -4.07418772e-03 
 6.85935016e+01 -2.74606800e-03 -4.36660285e-03 
 7.35166947e+01 -2.75799136e-03 -4.68000484e-03 
 7.87932425e+01 -2.77168766e-03 -5.01589981e-03 
 8.44485063e+01 -2.78742053e-03 -5.37590192e-03 
 9.05096680e+01 -2.80549278e-03 -5.76174115e-03 
 9.70058603e+01 -2.82625224e-03 -6.17527158e-03 
 1.03968307e+02 -2.85009849e-03 -6.61848028e-03 
 1.11430472e+02 -2.87749047e-03 -7.09349686e-03 
 1.19428223e+02 -2.90895538e-03 -7.60260362e-03 
 1.28000000e+02 -2.94509878e-03 -8.14824657e-03 
 1.37187003e+02 -2.98661628e-03 -8.73304706e-03 
 1.47033389e+02 -3.03430688e-03 -9.35981437e-03 
 1.57586485e+02 -3.08908834e-03 -1.00315592e-02 
 1.68897013e+02 -3.15201486e-03 -1.07515078e-02 
 1.81019336e+02 -3.22429733e-03 -1.15231178e-02 
 1.94011721e+02 -3.30732660e-03 -1.23500945e-02 
 2.07936613e+02 -3.40270023e-03 -1.32364082e-02 
 2.22860944e+02 -3.51225317e-03 -1.41863136e-02 
 2.38856446e+02 -3.63809304e-03 -1.52043700e-02 
 2.56000000e+02 -3.78264060e-03 -1.62954624e-02 
 2.74374006e+02 -3.94867620e-03 -1.74648251e-02 
 2.94066779e+02 -4.13939320e-03 -1.87180665e-02 
 3.15172970e+02 -4.35845916e-03 -2.00611950e-02 
 3.37794025e+02 -4.61008624e-03 -2.15006479e-02 
 3.62038672e+02 -4.89911186e-03 -2.30433208e-02 
 3.88023441e+02 -5.23109139e-03 -2.46966005e-02 
 4.15873227e+02 -5.61240441e-03 -2.64683988e-02 
 4.45721888e+02 -6.05037674e-03 -2.83671890e-02 
 4.77712892e+02 -6.55342035e-03 -3.04020453e-02 
 5.12000000e+02 -7.13119382e-03 -3.25826835e-02 
 5.48748013e+02 -7.79478643e-03 -3.49195052e-02 
 5.88133558e+02 -8.55692907e-03 -3.74236446e-02 
 6.30345940e+02 -9.43223606e-03 -4.01070174e-02 
 6.75588050e+02 -1.04374821e-02 -4.29823731e-02 
 7.24077344e+02 -1.15919196e-02 -4.60633497e-02 
 7.76046882e+02 -1.29176415e-02 -4.93645319e-02 
 8.31746454e+02 -1.44399968e-02 -5.29015110e-02 
 8.91443777e+02 -1.61880657e-02 -5.66909483e-02 
 9.55425783e+02 -1.81952017e-02 -6.07506409e-02 
 1.02400000e+03 -2.04996515e-02 -6.50995888e-02 
 1.09749603e+03 -2.31452612e-02 -6.97580651e-02 
 1.17626712e+03 -2.61822815e-02 -7.47476861e-02 
 1.26069188e+03 -2.96682831e-02 -8.00914829e-02 
 1.35117610e+03 -3.36691977e-02 -8.58139713e-02 
 1.44815469e+03 -3.82604983e-02 -9.19412213e-02 
 1.55209376e+03 -4.35285353e-02 -9.85009215e-02 
 1.66349291e+03 -4.95720463e-02 -1.05522440e-01 
 1.78288755e+03 -5.65038561e-02 -1.13036874e-01 
 1.91085157e+03 -6.44527863e-02 -1.21077093e-01 
 2.04800000e+03 -7.35657931e-02 -1.29677765e-01 
 2.19499205e+03 -8.40103479e-02 -1.38875357e-01 
 2.35253423e+03 -9.59770779e-02 -1.48708125e-01 
 2.52138376e+03 -1.09682677e-01 -1.59216055e-01 
 2.70235220e+03 -1.25373090e-01 -1.70440778e-01 
 2.89630938e+03 -1.43326971e-01 -1.82425430e-01 
 3.10418753e+03 -1.63859394e-01 -1.95214454e-01 
 3.32698582e+03 -1.87325793e-01 -2.08853333e-01 
 3.56577511e+03 -2.14126074e-01 -2.23388238e-01 
 3.82170313e+03 -2.44708815e-01 -2.38865579e-01 
 4.09600000e+03 -2.79575460e-01 -2.55331445e-01 
 4.38998410e+03 -3.19284337e-01 -2.72830920e-01 
 4.70506846e+03 -3.64454313e-01 -2.91407254e-01 
 5.04276752e+03 -4.15767839e-01 -3.11100890e-01 
 5.40470440e+03 -4.73973075e-01 -3.31948334e-01 
 5.79261875e+03 -5.39884738e-01 -3.53980865e-01 
 6.20837506e+03 -6.14383273e-01 -3.77223109e-01 
 6.65397163e+03 -6.98411892e-01 -4.01691476e-01 
 7.13155021e+03 -7.92971033e-01 -4.27392523e-01 
 7.64340627e+03 -8.99109815e-01 -4.54321271e-01 
 8.19200000e+03 -1.01791412e+00 -4.82459578e-01 
 8.77996821e+03 -1.15049108e+00 -5.11774629e-01 
 9.41013692e+03 -1.29794993e+00 -5.42217680e-01 
 1.00855350e+04 -1.46137951e+00 -5.73723156e-01 
 1.08094088e+04 -1.64182283e+00 -6.06208232e-01 
 1.15852375e+04 -1.84024979e+00 -6.39573008e-01 
 1.24167501e+04 -2.05752910e+00 -6.73701353e-01 
 1.33079433e+04 -2.29440096e+00 -7.08462483e-01 
 1.42631004e+04 -2.55145219e+00 -7.43713253e-01 
 1.52868125e+04 -2.82909553e+00 -7.79301097e-01 
