 frequency       db(v(Z))        ph(v(Z))       
 2.89630938e+03 -4.18147685e+01 -1.56191854e+00 
 3.10418753e+03 -4.24167758e+01 -1.56264550e+00 
 3.32698582e+03 -4.30187905e+01 -1.56333329e+00 
 3.56577511e+03 -4.36208115e+01 -1.56398522e+00 
 3.82170313e+03 -4.42228382e+01 -1.56460441e+00 
 4.09600000e+03 -4.48248699e+01 -1.56519385e+00 
 4.38998410e+03 -4.54269062e+01 -1.56575637e+00 
 4.70506846e+03 -4.60289464e+01 -1.56629467e+00 
 5.04276752e+03 -4.66309903e+01 -1.56681133e+00 
 5.40470440e+03 -4.72330375e+01 -1.56730884e+00 
 5.79261875e+03 -4.78350878e+01 -1.56778959e+00 
 6.20837506e+03 -4.84371410e+01 -1.56825589e+00 
 6.65397163e+03 -4.90391969e+01 -1.56870998e+00 
 7.13155021e+03 -4.96412556e+01 -1.56915404e+00 
 7.64340627e+03 -5.02433169e+01 -1.56959021e+00 
 8.19200000e+03 -5.08453809e+01 -1.57002058e+00 
 8.77996821e+03 -5.14474477e+01 -1.57044722e+00 
 9.41013692e+03 -5.20495174e+01 -1.57087218e+00 
 1.00855350e+04 -5.26515901e+01 -1.57129751e+00 
 1.08094088e+04 -5.32536662e+01 -1.57172524e+00 
 1.15852375e+04 -5.38557460e+01 -1.57215744e+00 
 1.24167501e+04 -5.44578297e+01 -1.57259618e+00 
 1.33079433e+04 -5.50599180e+01 -1.57304356e+00 
 1.42631004e+04 -5.56620112e+01 -1.57350175e+00 
 1.52868125e+04 -5.62641101e+01 -1.57397293e+00 
 1.63840000e+04 -5.68662155e+01 -1.57445937e+00 
 1.75599364e+04 -5.74683281e+01 -1.57496341e+00 
 1.88202738e+04 -5.80704490e+01 -1.57548747e+00 
 2.01710701e+04 -5.86725794e+01 -1.57603407e+00 
 2.16188176e+04 -5.92747206e+01 -1.57660583e+00 
 2.31704750e+04 -5.98768742e+01 -1.57720549e+00 
 2.48335002e+04 -6.04790420e+01 -1.57783594e+00 
 2.66158865e+04 -6.10812261e+01 -1.57850020e+00 
 2.85262009e+04 -6.16834288e+01 -1.57920146e+00 
 3.05736251e+04 -6.22856530e+01 -1.57994307e+00 
 3.27680000e+04 -6.28879017e+01 -1.58072860e+00 
 3.51198728e+04 -6.34901785e+01 -1.58156181e+00 
 3.76405477e+04 -6.40924878e+01 -1.58244669e+00 
 4.03421401e+04 -6.46948342e+01 -1.58338747e+00 
 4.32376352e+04 -6.52972233e+01 -1.58438866e+00 
 4.63409500e+04 -6.58996615e+01 -1.58545505e+00 
 4.96670005e+04 -6.65021559e+01 -1.58659172e+00 
 5.32317730e+04 -6.71047150e+01 -1.58780410e+00 
 5.70524017e+04 -6.77073483e+01 -1.58909797e+00 
 6.11472501e+04 -6.83100669e+01 -1.59047950e+00 
 6.55360000e+04 -6.89128836e+01 -1.59195523e+00 
 7.02397456e+04 -6.95158128e+01 -1.59353219e+00 
 7.52810954e+04 -7.01188712e+01 -1.59521783e+00 
 8.06842803e+04 -7.07220781e+01 -1.59702013e+00 
 8.64752704e+04 -7.13254557e+01 -1.59894757e+00 
 9.26819000e+04 -7.19290291e+01 -1.60100922e+00 
 9.93340009e+04 -7.25328277e+01 -1.60321472e+00 
 1.06463546e+05 -7.31368847e+01 -1.60557436e+00 
 1.14104803e+05 -7.37412388e+01 -1.60809909e+00 
 1.22294500e+05 -7.43459340e+01 -1.61080056e+00 
 1.31072000e+05 -7.49510210e+01 -1.61369117e+00 
 1.40479491e+05 -7.55565582e+01 -1.61678409e+00 
 1.50562191e+05 -7.61626124e+01 -1.62009326e+00 
 1.61368561e+05 -7.67692605e+01 -1.62363349e+00 
 1.72950541e+05 -7.73765908e+01 -1.62742042e+00 
 1.85363800e+05 -7.79847048e+01 -1.63147054e+00 
 1.98668002e+05 -7.85937187e+01 -1.63580123e+00 
 2.12927092e+05 -7.92037665e+01 -1.64043069e+00 
 2.28209607e+05 -7.98150017e+01 -1.64537798e+00 
 2.44589001e+05 -8.04276004e+01 -1.65066288e+00 
 2.62144000e+05 -8.10417652e+01 -1.65630587e+00 
 2.80958983e+05 -8.16577283e+01 -1.66232795e+00 
 3.01124382e+05 -8.22757560e+01 -1.66875048e+00 
 3.22737121e+05 -8.28961538e+01 -1.67559489e+00 
 3.45901082e+05 -8.35192720e+01 -1.68288237e+00 
 3.70727600e+05 -8.41455114e+01 -1.69063333e+00 
 3.97336004e+05 -8.47753309e+01 -1.69886683e+00 
 4.25854184e+05 -8.54092545e+01 -1.70759976e+00 
 4.56419214e+05 -8.60478801e+01 -1.71684575e+00 
 4.89178001e+05 -8.66918880e+01 -1.72661379e+00 
 5.24288000e+05 -8.73420503e+01 -1.73690650e+00 
 5.61917965e+05 -8.79992394e+01 -1.74771786e+00 
 6.02248763e+05 -8.86644363e+01 -1.75903033e+00 
 6.45474242e+05 -8.93387364e+01 -1.77081128e+00 
 6.91802164e+05 -9.00233513e+01 -1.78300852e+00 
 7.41455200e+05 -9.07196049e+01 -1.79554481e+00 
 7.94672007e+05 -9.14289190e+01 -1.80831129e+00 
 8.51708369e+05 -9.21527842e+01 -1.82115974e+00 
 9.12838427e+05 -9.28927096e+01 -1.83389386e+00 
 9.78356002e+05 -9.36501431e+01 -1.84625997e+00 
