 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -1.67337012e+00 -3.50991546e-02 
 1.07177346e+00 -1.67416529e+00 -3.76160463e-02 
 1.14869835e+00 -1.67507852e+00 -4.03130539e-02 
 1.23114441e+00 -1.67612730e+00 -4.32029827e-02 
 1.31950791e+00 -1.67733172e+00 -4.62995290e-02 
 1.41421356e+00 -1.67871483e+00 -4.96173374e-02 
 1.51571657e+00 -1.68030306e+00 -5.31720612e-02 
 1.62450479e+00 -1.68212674e+00 -5.69804247e-02 
 1.74110113e+00 -1.68422066e+00 -6.10602886e-02 
 1.86606598e+00 -1.68662469e+00 -6.54307164e-02 
 2.00000000e+00 -1.68938455e+00 -7.01120433e-02 
 2.14354693e+00 -1.69255264e+00 -7.51259449e-02 
 2.29739671e+00 -1.69618897e+00 -8.04955068e-02 
 2.46228883e+00 -1.70036226e+00 -8.62452928e-02 
 2.63901582e+00 -1.70515117e+00 -9.24014107e-02 
 2.82842712e+00 -1.71064567e+00 -9.89915737e-02 
 3.03143313e+00 -1.71694863e+00 -1.06045156e-01 
 3.24900959e+00 -1.72417756e+00 -1.13593240e-01 
 3.48220225e+00 -1.73246660e+00 -1.21668646e-01 
 3.73213197e+00 -1.74196872e+00 -1.30305956e-01 
 4.00000000e+00 -1.75285819e+00 -1.39541505e-01 
 4.28709385e+00 -1.76533330e+00 -1.49413352e-01 
 4.59479342e+00 -1.77961936e+00 -1.59961211e-01 
 4.92457765e+00 -1.79597195e+00 -1.71226350e-01 
 5.27803164e+00 -1.81468046e+00 -1.83251425e-01 
 5.65685425e+00 -1.83607191e+00 -1.96080261e-01 
 6.06286627e+00 -1.86051490e+00 -2.09757556e-01 
 6.49801917e+00 -1.88842380e+00 -2.24328491e-01 
 6.96440451e+00 -1.92026291e+00 -2.39838253e-01 
 7.46426393e+00 -1.95655068e+00 -2.56331421e-01 
 8.00000000e+00 -1.99786361e+00 -2.73851240e-01 
 8.57418770e+00 -2.04483971e+00 -2.92438741e-01 
 9.18958684e+00 -2.09818136e+00 -3.12131711e-01 
 9.84915531e+00 -2.15865705e+00 -3.32963510e-01 
 1.05560633e+01 -2.22710176e+00 -3.54961724e-01 
 1.13137085e+01 -2.30441549e+00 -3.78146689e-01 
 1.21257325e+01 -2.39155964e+00 -4.02529894e-01 
 1.29960383e+01 -2.48955049e+00 -4.28112305e-01 
 1.39288090e+01 -2.59944973e+00 -4.54882688e-01 
 1.49285279e+01 -2.72235138e+00 -4.82815990e-01 
 1.60000000e+01 -2.85936521e+00 -5.11871887e-01 
 1.71483754e+01 -3.01159651e+00 -5.41993608e-01 
 1.83791737e+01 -3.18012257e+00 -5.73107154e-01 
 1.96983106e+01 -3.36596662e+00 -6.05121038e-01 
 2.11121266e+01 -3.57007012e+00 -6.37926636e-01 
 2.26274170e+01 -3.79326474e+00 -6.71399245e-01 
 2.42514651e+01 -4.03624562e+00 -7.05399857e-01 
 2.59920767e+01 -4.29954757e+00 -7.39777640e-01 
 2.78576180e+01 -4.58352591e+00 -7.74373044e-01 
 2.98570557e+01 -4.88834324e+00 -8.09021384e-01 
 3.20000000e+01 -5.21396334e+00 -8.43556714e-01 
 3.42967508e+01 -5.56015252e+00 -8.77815778e-01 
 3.67583474e+01 -5.92648840e+00 -9.11641799e-01 
 3.93966212e+01 -6.31237545e+00 -9.44887914e-01 
 4.22242531e+01 -6.71706600e+00 -9.77420059e-01 
 4.52548340e+01 -7.13968531e+00 -1.00911921e+00 
 4.85029301e+01 -7.57925898e+00 -1.03988288e+00 
 5.19841534e+01 -8.03474098e+00 -1.06962593e+00 
 5.57152361e+01 -8.50504097e+00 -1.09828068e+00 
 5.97141115e+01 -8.98904947e+00 -1.12579646e+00 
 6.40000000e+01 -9.48566028e+00 -1.15213864e+00 
 6.85935016e+01 -9.99378939e+00 -1.17728738e+00 
 7.35166947e+01 -1.05123903e+01 -1.20123607e+00 
 7.87932425e+01 -1.10404657e+01 -1.22398969e+00 
 8.44485063e+01 -1.15770759e+01 -1.24556315e+00 
 9.05096680e+01 -1.21213442e+01 -1.26597961e+00 
 9.70058603e+01 -1.26724598e+01 -1.28526892e+00 
 1.03968307e+02 -1.32296783e+01 -1.30346620e+00 
 1.11430472e+02 -1.37923209e+01 -1.32061057e+00 
 1.19428223e+02 -1.43597723e+01 -1.33674397e+00 
 1.28000000e+02 -1.49314776e+01 -1.35191024e+00 
 1.37187003e+02 -1.55069384e+01 -1.36615427e+00 
 1.47033389e+02 -1.60857091e+01 -1.37952132e+00 
 1.57586485e+02 -1.66673924e+01 -1.39205648e+00 
 1.68897013e+02 -1.72516353e+01 -1.40380416e+00 
 1.81019336e+02 -1.78381248e+01 -1.41480782e+00 
 1.94011721e+02 -1.84265844e+01 -1.42510965e+00 
 2.07936613e+02 -1.90167697e+01 -1.43475040e+00 
 2.22860944e+02 -1.96084657e+01 -1.44376920e+00 
 2.38856446e+02 -2.02014831e+01 -1.45220352e+00 
 2.56000000e+02 -2.07956557e+01 -1.46008908e+00 
 2.74374006e+02 -2.13908377e+01 -1.46745986e+00 
 2.94066779e+02 -2.19869011e+01 -1.47434806e+00 
 3.15172970e+02 -2.25837341e+01 -1.48078417e+00 
 3.37794025e+02 -2.31812386e+01 -1.48679700e+00 
 3.62038672e+02 -2.37793288e+01 -1.49241369e+00 
 3.88023441e+02 -2.43779301e+01 -1.49765984e+00 
 4.15873227e+02 -2.49769768e+01 -1.50255950e+00 
 4.45721888e+02 -2.55764118e+01 -1.50713528e+00 
 4.77712892e+02 -2.61761854e+01 -1.51140840e+00 
 5.12000000e+02 -2.67762540e+01 -1.51539879e+00 
 5.48748013e+02 -2.73765797e+01 -1.51912511e+00 
 5.88133558e+02 -2.79771293e+01 -1.52260486e+00 
 6.30345940e+02 -2.85778740e+01 -1.52585444e+00 
 6.75588050e+02 -2.91787887e+01 -1.52888919e+00 
 7.24077344e+02 -2.97798514e+01 -1.53172348e+00 
 7.76046882e+02 -3.03810430e+01 -1.53437075e+00 
 8.31746454e+02 -3.09823470e+01 -1.53684357e+00 
 8.91443777e+02 -3.15837487e+01 -1.53915371e+00 
 9.55425783e+02 -3.21852356e+01 -1.54131219e+00 
 1.02400000e+03 -3.27867967e+01 -1.54332929e+00 
 1.09749603e+03 -3.33884224e+01 -1.54521465e+00 
 1.17626712e+03 -3.39901043e+01 -1.54697727e+00 
 1.26069188e+03 -3.45918352e+01 -1.54862559e+00 
 1.35117610e+03 -3.51936087e+01 -1.55016750e+00 
 1.44815469e+03 -3.57954194e+01 -1.55161038e+00 
 1.55209376e+03 -3.63972625e+01 -1.55296114e+00 
 1.66349291e+03 -3.69991338e+01 -1.55422625e+00 
 1.78288755e+03 -3.76010296e+01 -1.55541178e+00 
 1.91085157e+03 -3.82029468e+01 -1.55652343e+00 
 2.04800000e+03 -3.88048827e+01 -1.55756651e+00 
 2.19499205e+03 -3.94068348e+01 -1.55854604e+00 
 2.35253423e+03 -4.00088012e+01 -1.55946671e+00 
 2.52138376e+03 -4.06107799e+01 -1.56033296e+00 
 2.70235220e+03 -4.12127695e+01 -1.56114893e+00 
